A,B,C,D,x11,y11,x10,y10,x00,y00,x01,y01
49.28327419,49.42302996,49.28886955,49.39995082,24.94274421,24.91836955,25.10748104,-24.36462931,-24.31554891,-24.36462839,-24.45720629,24.9240376
49.43338783,49.3020783,49.20820978,49.28820828,24.25963073,24.50175694,24.51902139,-24.93095034,-24.78305691,-24.93094957,-25.02806349,24.27665026
49.40004438,49.29280039,48.85208493,49.30336138,24.11104939,23.78030428,24.60999862,-25.61722029,-24.68280177,-25.61721599,-25.18926574,23.23224354
49.32684252,49.36940934,48.69003328,49.35784671,25.4243559,28.53202903,26.2470698,-20.78795206,-23.12233955,-20.787928,-23.92938515,27.89541636
49.42583207,49.36026854,44.75844838,49.37250197,23.18862739,26.86494851,25.9036854,-22.48625548,-23.45658314,-22.48625083,-25.96318268,22.2019541
42.93293467,49.36034042,49.38869078,49.37007277,26.37271376,20.35596046,23.54773693,-22.48393199,-25.81260348,-22.48392895,-22.57518947,26.79854184
44.55007477,49.35922363,50.16181078,49.33066224,25.79157535,21.75306762,23.67158769,-22.74653703,-25.68763594,-22.74653194,-23.22003201,27.3545478
49.29832287,49.28529898,49.32242832,46.91112327,23.48332139,24.67990458,23.77998186,-24.61752568,-25.50531711,-24.61752553,-23.42779812,24.66112959
49.3951033,49.29743753,46.11894401,49.27354376,23.3570924,24.76779045,25.64816976,-24.57415108,-23.64926777,-24.57414859,-25.80759147,21.49426397
49.39597718,49.28074084,47.8737095,49.27652584,24.08402148,24.47295369,24.81923042,-24.91755176,-24.46151042,-24.91754975,-25.16899313,22.95093184
49.40015511,49.28373175,47.13123351,49.31115223,23.64703769,23.84250737,24.70902207,-25.54623136,-24.57470968,-25.54622858,-25.61188795,21.57359139
49.40039903,49.30878727,46.87533471,49.3327687,23.57915348,24.4545774,24.67597486,-24.93364395,-24.63281241,-24.93364313,-25.68896528,21.92979192
49.34036257,49.40003629,49.33121745,47.5946949,23.59504653,25.10002436,24.56036025,-24.23089443,-24.83967604,-24.23089393,-23.99964788,25.09317087
49.33567485,49.39877707,49.3382355,47.95471109,24.42895385,24.99488746,25.23372864,-24.33422312,-24.16504843,-24.33422169,-23.52575698,24.99987188
47.47830928,49.29852363,49.29535219,49.36202076,23.60206412,19.2325897,23.22260078,-28.24420315,-26.07592284,-28.24415428,-25.72649009,21.0499594
44.00048311,49.29930371,49.30529349,49.33948704,25.45587902,19.34448602,23.51436635,-24.61314179,-25.78493737,-24.61310918,-23.59820993,24.64366892
46.27943353,67.55083375,49.67198919,2.635042779,0.7323131552,32.83838091,33.01543652,-0.3216238256,-34.53539723,-0.3215763442,0.008385839141,35.37203039
49.27495012,42.81621757,49.27958297,49.34570986,25.95940224,24.6083339,22.55395329,-24.5487981,-20.26226429,-24.54878766,-23.3863021,24.63167274
49.26516133,47.27494264,49.28913691,49.37016557,24.95697605,24.7345851,24.27304451,-24.52582861,-23.00189813,-24.52582376,-24.41318879,24.74310434
48.8898963,49.27433356,49.39942166,49.2859266,24.72611829,24.49316766,24.52722599,-24.39632407,-24.74710756,-24.39631809,-24.557174,25.00273843
49.27359043,49.29227194,49.40006481,49.34243275,24.75973919,24.59070449,24.35134495,-24.68119347,-24.94092699,-24.68118729,-24.58253045,24.71757743
52.99538083,49.34339069,49.2359446,49.32156765,22.93503342,25.69192292,24.51515792,-27.27989597,-24.82823276,-27.27989347,-26.24329429,21.9357122
49.42709385,49.31005491,44.80829143,49.34021892,22.38803655,24.29917551,24.72003175,-25.07287534,-24.59002316,-25.07287186,-26.7358623,19.68400867
49.35391424,49.39268386,49.33408272,46.21938934,22.70860051,25.51472388,24.02577395,-23.82161065,-25.36690991,-23.82160968,-23.51077388,25.47754322
49.30329083,47.8690093,49.24542296,43.95065258,20.37882049,24.49811816,22.77219923,-24.74704633,-25.09681007,-24.74704483,-23.57182589,24.47476035
49.07679488,48.89586603,49.14063634,46.28549287,22.42287669,25.65651426,23.89521378,-23.3981901,-25.00065225,-23.39817545,-23.86255898,25.72928004
49.29078715,44.30029384,49.33617788,49.09544319,26.31427859,25.34100678,23.14362036,-23.84769745,-21.15667348,-23.84769501,-22.78101616,25.46173571
41.85984633,49.23882405,49.72928219,49.31734973,25.6422418,17.88992232,23.00698648,-23.8868914,-26.23183757,-23.88684713,-23.04628406,25.74030025
49.2573202,41.33298297,49.24858272,48.82771814,25.24589425,24.78208459,20.71277666,-24.26620221,-20.62020631,-24.26615349,-23.58169721,24.89330614
49.24132648,41.38144157,49.23324482,49.7668545,26.65028357,24.89182989,22.06806426,-24.13583066,-19.31337731,-24.13577855,-23.11653651,24.95035366
49.23743941,43.57486754,49.24908429,48.9365485,25.6064633,24.64492856,23.14586042,-24.53098905,-20.42900712,-24.53096321,-23.33008364,24.63260113
49.24012237,49.40029075,49.28291477,45.71689364,22.78948899,23.83330299,22.91290287,-25.40666473,-26.45542028,-23.62975875,-22.89611442,25.52445805
46.23569053,49.27502569,49.39616821,49.32729266,25.6289989,21.77593049,23.84512718,-24.42533443,-25.42989851,-24.42531081,-23.59691372,24.93683663
49.67341636,49.32469946,47.14436024,49.33386011,23.79126673,25.50759598,24.33274423,-24.16286904,-24.99195523,-24.16286601,-25.47774901,22.97899126
49.12258905,49.3293309,42.55290047,49.34855156,21.31137638,23.85239899,24.56710409,-25.16218038,-24.76222681,-25.16216975,-27.59970076,17.29602239
,,,,,,,,,,,
"plot([x10,x11],[y10,y11],""-red"",[x10,x00],[y10,y00],""-blue"", [x01,x00],[y01,y00],""-cyan"",[x01,x11],[y01,y11],""-blue"")",,,,,,,,,,,
